GGTUGCKA101299,#IAmRemarkable Icon Red Sticker,Stickers,USD,45,https://shop.googlemerchandisestore.com/store/20180919570/assets/items/images/GGTUGCKA101299.jpg,Print Pop,4.1,"['Red', 'White']","A red R letter sticker with a white outline. The sticker is made of durable vinyl and is perfect for decorating laptops, water bottles, and more.",The R Letter Sticker
GGTUGCKA101299,#IAmRemarkable Icon Red Sticker,Stickers,USD,60,https://shop.googlemerchandisestore.com/store/20180919570/assets/items/images/GGTUGCKA101299.jpg,Canvas Couture,3.4,"['Red', 'White']","A red R letter sticker with a white outline. The sticker is made of durable vinyl and is perfect for decorating laptops, water bottles, and more.",The R Letter Sticker
GGTUGCKA101299,#IAmRemarkable Icon Red Sticker,Stickers,USD,63,https://shop.googlemerchandisestore.com/store/20180919570/assets/items/images/GGTUGCKA101299.jpg,Fandom Finds,3.3,"['Red', 'White']","A red R letter sticker with a white outline. The sticker is made of durable vinyl and is perfect for decorating laptops, water bottles, and more.",The R Letter Sticker
GGTUGCKA101299,#IAmRemarkable Icon Red Sticker,Stickers,USD,55,https://shop.googlemerchandisestore.com/store/20180919570/assets/items/images/GGTUGCKA101299.jpg,Pop Art Provisions,3.0,"['Red', 'White']","A red R letter sticker with a white outline. The sticker is made of durable vinyl and is perfect for decorating laptops, water bottles, and more.",The R Letter Sticker
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",Electronics,USD,86,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Urban Edge,2.8,['Black'],"The Google Cloud Notebook is a high-quality notebook that is perfect for taking notes, jotting down ideas, or sketching. It features a durable hard cover and a soft, lined interior. The notebook is also available in a variety of colors, so you can find the perfect one to match your needs.",Google Cloud Notebook
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",Electronics,USD,91,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Vinyl Vault,4.4,['Black'],"The Google Cloud Notebook is a high-quality notebook that is perfect for taking notes, jotting down ideas, or sketching. It features a durable hard cover and a soft, lined interior. The notebook is also available in a variety of colors, so you can find the perfect one to match your needs.",Google Cloud Notebook
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",Electronics,USD,87,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Fandom Finds,3.3,['Black'],"The Google Cloud Notebook is a high-quality notebook that is perfect for taking notes, jotting down ideas, or sketching. It features a durable hard cover and a soft, lined interior. The notebook is also available in a variety of colors, so you can find the perfect one to match your needs.",Google Cloud Notebook
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",Electronics,USD,98,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Sarcasm Society,3.8,['Black'],"The Google Cloud Notebook is a high-quality notebook that is perfect for taking notes, jotting down ideas, or sketching. It features a durable hard cover and a soft, lined interior. The notebook is also available in a variety of colors, so you can find the perfect one to match your needs.",Google Cloud Notebook
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",Electronics,USD,97,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Custom Culture,3.6,['Black'],"The Google Cloud Notebook is a high-quality notebook that is perfect for taking notes, jotting down ideas, or sketching. It features a durable hard cover and a soft, lined interior. The notebook is also available in a variety of colors, so you can find the perfect one to match your needs.",Google Cloud Notebook
GGOEAAAP081215,Android Men's Take Charge Short Sleeve Tee Purple,t-shirt,USD,98,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX0812.jpg,Custom Culture,2.7,"['blue', 'green']",A blue t-shirt with a green Android logo on the front.,Android T-Shirt
